Settimana,2002_max,2002_media,2002_min,6174_max,6174_media,6174_min,6179_max,6179_media,6179_min,6185_max,6185_media,6185_min,6597_max,6597_media,6597_min
48,96.43,82.74,57.86,82.57,71.87,54.57,93.0,76.26,55.43,100.0,85.51,59.43,90.71,77.24,56.86
49,98.83,93.35,70.17,92.0,87.21,75.71,99.0,95.31,79.43,100.0,98.9,89.29,99.0,91.37,75.86
50,98.71,87.73,64.0,85.43,76.43,59.57,97.29,82.21,58.43,100.0,92.14,64.71,92.0,80.94,60.0
51,98.71,95.74,86.86,91.86,87.73,80.43,98.86,94.71,84.71,100.0,98.29,91.57,95.0,89.8,80.14
52,98.43,92.49,81.86,87.71,79.93,71.29,96.0,85.7,73.29,100.0,92.5,79.14,93.57,84.21,71.86
1,99.0,92.34,76.0,87.71,78.93,66.86,96.0,84.44,66.0,100.0,95.48,79.17,92.43,82.46,66.14
2,95.43,78.94,52.0,78.86,65.04,44.71,86.14,66.71,41.71,97.14,79.1,46.57,83.71,67.26,43.43
3,96.71,89.86,82.86,85.71,78.13,69.57,94.43,84.5,75.0,97.57,90.04,82.86,92.43,81.56,70.86
4,96.0,88.96,78.29,82.71,76.23,67.14,87.57,80.67,69.86,92.71,85.9,78.57,87.57,79.27,68.57
5,99.0,96.43,86.86,92.14,86.4,74.86,98.86,93.33,78.14,100.0,96.97,83.14,97.0,89.29,73.43
6,99.0,96.54,87.14,98.71,91.33,78.14,99.0,92.79,77.57,100.0,96.03,81.86,97.86,89.77,73.29
7,98.86,91.11,73.0,98.57,84.31,63.0,98.71,85.49,60.43,100.0,89.4,65.86,97.57,81.49,57.57
8,89.71,75.24,52.29,80.71,67.5,46.86,80.29,65.04,40.71,92.43,73.49,44.71,80.14,65.24,41.71
9,95.29,84.4,65.71,89.43,79.2,62.29,92.71,78.26,57.29,100.0,88.71,64.71,86.86,75.71,58.14
10,97.43,83.53,61.86,90.71,77.76,58.86,93.71,78.33,55.57,100.0,83.79,56.86,90.43,74.53,52.86
11,95.71,82.16,63.29,92.43,78.97,60.0,94.86,78.87,55.71,100.0,87.03,61.0,92.0,76.37,56.29
12,73.0,53.17,34.0,66.57,49.11,30.71,63.43,44.84,25.14,74.57,50.34,29.43,64.71,45.99,27.14
13,63.14,43.14,25.43,53.86,37.87,23.14,50.29,33.94,19.29,63.14,40.03,22.43,53.57,36.51,21.43
14,56.29,37.14,20.86,44.57,31.49,19.86,31.5,21.6,9.5,57.43,35.14,18.29,45.43,30.67,17.14
15,76.14,57.01,38.14,73.0,57.21,38.71,65.67,51.77,34.33,81.29,58.69,36.29,68.14,52.47,34.57
