Settimana,Milano Pascal Città Studi,Milano Verziere,Milano v.Liguria,Milano v.Marche,Milano v.Senato
48,37.5,41.48,34.82,43.83,41.0
49,51.16,57.53,51.66,63.35,53.98
50,37.26,47.82,42.48,50.94,48.08
51,45.97,57.76,50.98,48.43,59.0
52,54.68,58.38,49.95,49.38,68.37
1,37.1,54.95,43.68,47.12,80.4
2,31.19,42.04,39.32,37.23,52.5
3,55.0,68.09,57.57,52.26,62.18
4,38.4,48.62,38.69,35.93,43.93
5,42.24,47.26,44.45,39.97,43.7
6,44.41,52.43,45.42,48.09,45.65
7,38.13,42.7,38.95,39.42,35.11
8,40.39,42.9,40.68,43.26,34.15
9,33.98,35.59,37.55,45.19,30.86
10,61.89,55.49,63.77,68.85,49.14
11,21.23,25.02,27.7,39.72,24.53
12,33.46,30.05,34.43,45.59,25.77
13,31.22,31.96,33.88,41.8,31.85
14,27.29,30.25,32.32,39.08,27.09
15,23.78,29.33,31.41,38.97,24.92
