Settimana,Milano Pascal Città Studi,Milano Verziere,Milano v.Marche,Milano v.Senato
48,19.86,17.86,24.29,26.29
49,36.43,28.43,40.71,42.57
50,45.29,35.71,50.71,51.57
51,50.0,34.57,50.0,55.14
52,39.4,31.43,45.57,47.0
1,28.14,23.71,31.0,34.43
2,36.0,30.29,38.0,41.57
3,42.29,37.57,43.86,49.29
4,71.14,61.71,76.43,79.14
5,70.0,58.86,70.57,75.29
6,41.14,36.71,44.14,47.14
7,71.14,63.57,73.14,81.29
8,52.57,46.14,53.86,60.43
9,15.14,13.14,15.43,13.75
10,16.29,12.5,17.29,19.14
11,25.86,20.57,24.0,28.29
12,36.29,29.71,37.43,37.86
13,26.86,23.0,23.57,28.14
14,17.43,17.86,21.5,19.86
15,28.0,27.86,31.0,31.29
