Settimana,2001_max,2001_media,2001_min,5897_max,5897_media,5897_min,5909_max,5909_media,5909_min,5911_max,5911_media,5911_min,5920_max,5920_media,5920_min,8162_max,8162_media,8162_min
48,10.0,7.17,4.14,9.71,7.8,5.86,9.71,7.87,6.0,9.57,7.73,5.43,10.43,7.64,5.14,9.14,7.13,4.29
49,9.0,4.21,0.71,8.57,6.37,3.57,8.57,6.13,3.14,8.43,5.7,2.86,9.71,5.56,1.71,7.86,4.01,1.0
50,8.0,4.83,2.14,7.43,5.76,3.14,7.57,5.66,3.14,7.43,5.43,2.86,8.0,5.34,2.57,6.86,4.64,2.14
51,9.57,5.26,1.29,10.0,7.09,3.43,10.14,6.76,3.0,10.0,6.59,3.29,10.71,6.8,3.0,8.71,5.06,1.29
52,11.43,4.64,-0.86,11.71,7.1,2.29,11.57,7.23,2.57,11.0,5.84,1.57,12.43,5.79,0.57,9.57,3.94,-0.86
1,9.14,4.73,1.29,9.14,6.53,3.86,8.86,6.39,3.71,8.71,5.74,3.14,10.0,5.96,2.29,8.0,4.24,1.14
2,7.43,4.77,2.43,6.86,5.67,3.71,6.86,5.56,3.57,7.0,5.34,3.14,7.86,5.46,3.0,6.86,4.59,2.43
3,7.57,2.71,-0.71,7.71,4.94,1.86,7.57,4.76,1.71,7.14,3.91,1.0,8.57,4.09,0.43,6.57,2.2,-0.86
4,8.43,6.61,4.43,8.14,7.03,5.14,8.0,6.76,5.14,8.57,7.03,5.43,9.14,7.39,5.43,7.86,6.43,4.57
5,10.0,7.1,4.0,10.0,8.17,6.0,7.0,7.2,6.0,9.86,7.89,5.57,10.86,8.19,5.29,9.14,6.8,4.0
6,8.86,4.7,1.29,9.14,6.69,3.86,,,,9.29,6.27,3.14,10.29,6.4,2.43,8.0,4.43,1.43
7,9.71,6.6,3.57,9.14,7.49,5.43,9.4,6.96,4.4,9.14,7.41,5.29,10.0,7.59,4.86,9.0,6.44,3.57
8,8.71,5.87,3.0,8.57,6.7,4.29,8.14,6.51,4.0,8.57,6.76,4.29,9.71,7.04,4.14,8.43,5.76,3.0
9,13.29,9.46,5.71,13.43,10.57,7.71,13.43,10.33,7.57,13.29,10.5,7.43,14.43,10.97,7.29,12.86,9.19,5.57
10,16.86,10.06,3.14,16.71,12.51,7.71,17.0,12.29,7.57,17.14,11.5,6.29,18.86,11.83,4.86,16.43,9.4,2.86
11,13.0,10.71,8.0,12.57,10.79,8.43,12.57,10.79,8.43,12.71,10.84,8.57,13.43,11.39,8.57,12.71,10.54,8.0
12,13.0,8.94,4.0,12.86,10.07,6.71,12.43,9.89,6.71,12.86,10.0,6.43,14.0,10.4,5.86,12.71,8.9,4.0
13,19.14,13.64,7.43,19.29,14.79,10.14,18.43,14.49,10.14,18.86,14.33,9.43,20.57,15.06,9.14,18.71,13.29,7.29
14,20.14,14.67,7.86,19.86,15.93,10.86,20.14,15.94,10.86,20.0,15.71,10.71,21.57,16.27,10.14,20.14,14.59,8.0
15,18.86,13.6,7.57,18.71,14.61,10.43,18.71,14.57,10.14,18.29,14.37,9.86,19.86,14.86,9.43,18.29,13.37,8.0
