stagione,ats,parametro,anno_iso,settimana_iso,week_label,ordine,n_comuni,media_comunale,std_comunale,min_comunale,max_comunale,pop_weight_media,area_weight_media
21-22,ATS_Montagna,PM25,2021,40,W40/2021,1,134,4.6353,1.2607,2.2571,9.2143,5.0645,3.7969
21-22,ATS_Montagna,PM25,2021,41,W41/2021,2,134,7.2500,2.4066,2.9429,15.6857,7.8714,5.6778
21-22,ATS_Montagna,PM25,2021,42,W42/2021,3,134,8.0257,3.2240,2.2571,18.0143,9.0012,5.8585
21-22,ATS_Montagna,PM25,2021,43,W43/2021,4,134,8.9696,2.9084,3.0000,17.5714,9.7421,6.9817
21-22,ATS_Montagna,PM25,2021,44,W44/2021,5,134,3.2813,1.8224,1.1571,11.7286,3.7025,2.3355
21-22,ATS_Montagna,PM25,2021,45,W45/2021,6,134,7.9701,3.4645,3.0143,21.3714,8.6033,5.9085
21-22,ATS_Montagna,PM25,2021,46,W46/2021,7,134,6.4470,3.9817,1.4286,20.1571,6.9613,4.2580
21-22,ATS_Montagna,PM25,2021,47,W47/2021,8,134,6.2907,3.4290,1.7000,20.2286,6.9973,4.2789
21-22,ATS_Montagna,PM25,2021,48,W48/2021,9,134,4.7921,3.2149,1.0286,23.0286,6.0414,3.2684
21-22,ATS_Montagna,PM25,2021,49,W49/2021,10,134,5.7822,3.8359,1.0714,21.2143,7.4605,3.7131
21-22,ATS_Montagna,PM25,2021,50,W50/2021,11,134,7.8795,5.9271,0.9429,35.7143,9.7580,4.7104
21-22,ATS_Montagna,PM25,2021,51,W51/2021,12,134,11.8326,7.0119,1.5286,39.2143,14.3090,7.4959
21-22,ATS_Montagna,PM25,2021,52,W52/2021,13,134,9.2770,6.9214,0.9286,38.8857,11.8785,5.7947
21-22,ATS_Montagna,PM25,2022,1,W01/2022,14,134,8.9172,6.4952,1.3000,31.5000,11.2605,6.2233
21-22,ATS_Montagna,PM25,2022,2,W02/2022,15,134,9.5239,6.8555,1.7429,30.3286,11.5429,6.5717
21-22,ATS_Montagna,PM25,2022,3,W03/2022,16,134,9.2324,7.1648,1.1571,35.5286,11.9332,6.2559
21-22,ATS_Montagna,PM25,2022,4,W04/2022,17,134,10.3208,7.5436,1.3714,36.6857,12.8953,6.7557
21-22,ATS_Montagna,PM25,2022,5,W05/2022,18,134,7.5378,5.2978,1.0571,27.4000,9.3329,4.9664
21-22,ATS_Montagna,PM25,2022,6,W06/2022,19,134,6.9920,3.4913,1.7857,20.1571,7.8966,5.0863
21-22,ATS_Montagna,PM25,2022,7,W07/2022,20,134,8.9622,6.1384,1.7143,33.4571,11.3885,6.1330
21-22,ATS_Montagna,PM25,2022,8,W08/2022,21,134,4.7228,2.6425,1.8000,18.4714,5.5965,3.5610
21-22,ATS_Montagna,PM25,2022,9,W09/2022,22,134,11.8809,4.9443,3.0571,29.7429,13.4024,8.5651
21-22,ATS_Montagna,PM25,2022,10,W10/2022,23,134,15.8968,5.0071,5.2714,32.6857,17.4831,12.3134
21-22,ATS_Montagna,PM25,2022,11,W11/2022,24,134,16.8095,5.5396,5.4571,34.4571,18.7604,12.9522
21-22,ATS_Montagna,PM25,2022,12,W12/2022,25,134,13.3801,4.5495,5.1000,30.8429,14.7017,10.3393
21-22,ATS_Montagna,PM25,2022,13,W13/2022,26,134,10.1369,4.2949,2.9857,25.7143,11.6836,7.3921
21-22,ATS_Montagna,PM25,2022,14,W14/2022,27,134,8.0714,3.0802,2.3571,17.7143,9.0223,5.9096
21-22,ATS_Montagna,PM25,2022,15,W15/2022,28,134,9.6161,2.8975,3.7571,21.5143,10.4521,7.7254
21-22,ATS_Montagna,PM25,2022,16,W16/2022,29,134,7.1966,2.2541,2.5143,14.2714,7.8216,5.5167
