Stagione_ILI,Variabile,N_picchi_usati,Lag_medio_settimane,Lag_mediano_settimane,Lag_min_settimane,Lag_max_settimane,Correlazione_Pearson,Env_valore_medio_picco,ILI_valore_medio_picco
22-23,TEMPERATURE,5,-7.6,-8.0,-13,-2,-0.642355025091646,6.1226666666666665,718.6
23-24,TEMPERATURE,5,-1.4,-3.0,-3,1,-0.618032106080331,4.755,863.8
24-25,TEMPERATURE,5,-2.2,-2.0,-6,2,-0.49760819263652806,6.1766,751.8
25-26,TEMPERATURE,5,-2.6,-3.0,-4,1,-0.4251195273560687,4.256666666666667,886.4
22-23,HUMIDITY,5,-5.8,-5.0,-11,-1,0.8844365935253662,82.8912,718.6
23-24,HUMIDITY,5,-4.4,-4.0,-8,-1,-0.5992053799502249,89.71400000000001,863.8
24-25,HUMIDITY,5,-1.2,-1.0,-5,2,-0.38470628157772774,89.3376,751.8
25-26,HUMIDITY,5,-2.4,-1.0,-5,0,-0.12161596050811245,91.8448,886.4
22-23,PM10,5,-8.6,-10.0,-13,-3,0.23762505762914282,43.142500000000005,718.6
23-24,PM10,5,-5.6,-6.0,-7,-2,0.611182225286342,62.7495,863.8
24-25,PM10,5,-0.6,0.0,-4,3,0.3055742018743292,60.956999999999994,751.8
25-26,PM10,5,-5.2,-4.0,-9,-1,-0.016158951949329675,52.214,886.4
22-23,PM25,5,-8.6,-10.0,-13,-3,0.3955607073305819,31.332666666666665,718.6
23-24,PM25,5,-5.6,-6.0,-7,-2,0.6049481885035971,47.03866666666667,863.8
24-25,PM25,5,0.2,0.0,-2,3,0.14229883169745144,42.10466666666666,751.8
25-26,PM25,5,-5.2,-4.0,-9,-1,-0.012513775315923735,41.732000000000006,886.4
22-23,NO2,5,-6.4,-6.0,-11,-3,0.36551622697510083,53.345600000000005,718.6
23-24,NO2,5,-4.6,-5.0,-10,0,0.4646122423795294,52.532799999999995,863.8
24-25,NO2,5,0.0,1.0,-4,3,-0.4239222634493652,55.5472,751.8
25-26,NO2,5,-1.6,-3.0,-3,1,0.23572621732118576,49.606,886.4
