ats,nome_lungo,macro_cat,area_km2,percentuale
Brescia,ATS di Brescia,Agricola,1478.4078,41.9142
Brescia,ATS di Brescia,Boschi e zone naturali,1248.2983,35.3904
Brescia,ATS di Brescia,Residenziale,259.5352,7.3581
Brescia,ATS di Brescia,Corpi idrici,247.7550,7.0241
Brescia,ATS di Brescia,Industriale / Commerciale,168.8111,4.7859
Brescia,ATS di Brescia,Altre superfici artificiali,84.5545,2.3972
Brescia,ATS di Brescia,Zone estrattive e cantieri,36.7664,1.0424
Brescia,ATS di Brescia,Zone umide,3.0974,0.0878
Brescia,ATS di Brescia,Verde urbano,0.0000,0.0000
Brescia,ATS di Brescia,Altro / Non classificato,0.0000,0.0000
