PROVINCIA,Comune,Totale
Brescia,Angolo Terme,2309
Brescia,Artogne,3567
Brescia,Berzo Demo,1525
Brescia,Berzo Inferiore,2447
Brescia,Bienno,3760
Brescia,Borno,2479
Brescia,Braone,682
Brescia,Breno,4632
Brescia,Capo di Ponte,2327
Brescia,Cedegolo,1098
Brescia,Cerveno,657
Brescia,Ceto,1788
Brescia,Cevo,820
Brescia,Cimbergo,543
Brescia,Cividate Camuno,2655
Brescia,Corteno Golgi,1922
Brescia,Darfo Boario Terme,15546
Brescia,Edolo,4411
Brescia,Esine,5118
Brescia,Gianico,2121
Brescia,Incudine,345
Brescia,Losine,625
Brescia,Lozio,353
Brescia,Malegno,1960
Brescia,Malonno,3030
Brescia,Monno,515
Brescia,Niardo,1968
Brescia,Ono San Pietro,965
Brescia,Ossimo,1452
Brescia,Paisco Loveno,176
Brescia,Paspardo,579
Brescia,Pian Camuno,4733
Brescia,Pisogne,7803
Brescia,Ponte di Legno,1747
Brescia,Saviore dell'Adamello,802
Brescia,Sellero,1400
Brescia,Sonico,1211
Brescia,Temù,1105
Brescia,Vezza d'Oglio,1473
Brescia,Vione,627
Brescia,Piancogno,4742
Como,Cremia,691
Como,Domaso,1451
Como,Dongo,3233
Como,Dosso del Liro,236
Como,Garzeno,676
Como,Gera Lario,1054
Como,Livo,165
Como,Montemezzo,220
Como,Musso,934
Como,Peglio,189
Como,Pianello del Lario,1047
Como,Sorico,1246
Como,Stazzona,613
Como,Trezzone,237
Como,Vercana,743
Como,Gravedona ed Uniti,4085
Sondrio,Albaredo per San Marco,291
Sondrio,Albosaggia,3011
Sondrio,Andalo Valtellino,597
Sondrio,Aprica,1495
Sondrio,Ardenno,3222
Sondrio,Bema,117
Sondrio,Berbenno di Valtellina,4078
Sondrio,Bianzone,1262
Sondrio,Bormio,3990
Sondrio,Buglio in Monte,1967
Sondrio,Caiolo,1048
Sondrio,Campodolcino,928
Sondrio,Caspoggio,1342
Sondrio,Castello dell'Acqua,615
Sondrio,Castione Andevenno,1533
Sondrio,Cedrasco,422
Sondrio,Cercino,782
Sondrio,Chiavenna,7235
Sondrio,Chiesa in Valmalenco,2350
Sondrio,Chiuro,2426
Sondrio,Cino,333
Sondrio,Civo,1118
Sondrio,Colorina,1390
Sondrio,Cosio Valtellino,5482
Sondrio,Dazio,482
Sondrio,Delebio,3331
Sondrio,Dubino,3752
Sondrio,Faedo Valtellino,503
Sondrio,Forcola,765
Sondrio,Fusine,553
Sondrio,Gerola Alta,161
Sondrio,Gordona,1936
Sondrio,Grosio,4371
Sondrio,Grosotto,1637
Sondrio,Madesimo,530
Sondrio,Lanzada,1256
Sondrio,Livigno,6811
Sondrio,Lovero,627
Sondrio,Mantello,753
Sondrio,Mazzo di Valtellina,1028
Sondrio,Mello,928
Sondrio,Mese,1824
Sondrio,Montagna in Valtellina,2963
Sondrio,Morbegno,12227
Sondrio,Novate Mezzola,1883
Sondrio,Pedesina,35
Sondrio,Piantedo,1415
Sondrio,Piateda,2073
Sondrio,Piuro,1901
Sondrio,Poggiridenti,1819
Sondrio,Ponte in Valtellina,2255
Sondrio,Postalesio,659
Sondrio,Prata Camportaccio,2918
Sondrio,Rasura,291
Sondrio,Rogolo,561
Sondrio,Samolaco,2886
Sondrio,San Giacomo Filippo,369
Sondrio,Sernio,475
Sondrio,Sondalo,3930
Sondrio,Sondrio,21192
Sondrio,Spriana,79
Sondrio,Talamona,4623
Sondrio,Tartano,196
Sondrio,Teglio,4410
Sondrio,Tirano,8823
Sondrio,Torre di Santa Maria,745
Sondrio,Tovo di Sant'Agata,626
Sondrio,Traona,2842
Sondrio,Tresivio,2011
Sondrio,Valdidentro,4134
Sondrio,Valdisotto,3594
Sondrio,Valfurva,2498
Sondrio,Val Masino,841
Sondrio,Verceia,1063
Sondrio,Vervio,202
Sondrio,Villa di Chiavenna,967
Sondrio,Villa di Tirano,2996
