STAGIONE,WEEK,ORDINE,ACCESSI_TOTALI_ER_BRIANZA
21-22,42.0,1.0,6859
21-22,43.0,2.0,7018
21-22,44.0,3.0,6856
21-22,45.0,4.0,6949
21-22,46.0,5.0,6891
21-22,47.0,6.0,6165
21-22,48.0,7.0,6155
21-22,49.0,8.0,6106
21-22,50.0,9.0,6238
21-22,51.0,10.0,5814
21-22,52.0,11.0,5889
21-22,1.0,12.0,5562
21-22,2.0,13.0,5183
21-22,3.0,14.0,5217
21-22,4.0,15.0,5141
21-22,5.0,16.0,5834
21-22,6.0,17.0,5852
21-22,7.0,18.0,6022
21-22,8.0,19.0,6198
21-22,9.0,20.0,6026
21-22,10.0,21.0,6213
21-22,11.0,22.0,6613
21-22,12.0,23.0,6859
21-22,13.0,24.0,7067
21-22,14.0,25.0,6874
21-22,15.0,26.0,6655
21-22,16.0,27.0,6809
22-23,42.0,1.0,6860
22-23,43.0,2.0,6242
22-23,44.0,3.0,6192
22-23,45.0,4.0,6302
22-23,46.0,5.0,6593
22-23,47.0,6.0,6711
22-23,48.0,7.0,6657
22-23,49.0,8.0,6385
22-23,50.0,9.0,5837
22-23,51.0,10.0,5799
22-23,52.0,11.0,6265
22-23,1.0,12.0,6767
22-23,2.0,13.0,6517
22-23,3.0,14.0,6374
22-23,4.0,15.0,6643
22-23,5.0,16.0,7012
22-23,6.0,17.0,6876
22-23,7.0,18.0,7252
22-23,8.0,19.0,6799
22-23,9.0,20.0,6959
22-23,10.0,21.0,7117
22-23,11.0,22.0,7199
22-23,12.0,23.0,7163
22-23,13.0,24.0,7072
22-23,14.0,25.0,6698
22-23,15.0,26.0,7084
22-23,16.0,27.0,6922
23-24,42.0,1.0,6913
23-24,43.0,2.0,6985
23-24,44.0,3.0,6808
23-24,45.0,4.0,6877
23-24,46.0,5.0,7010
23-24,47.0,6.0,7262
23-24,48.0,7.0,7290
23-24,49.0,8.0,7462
23-24,50.0,9.0,7876
23-24,51.0,10.0,7881
23-24,52.0,11.0,8163
23-24,1.0,12.0,7074
23-24,2.0,13.0,6525
23-24,3.0,14.0,6804
23-24,4.0,15.0,6961
23-24,5.0,16.0,7078
23-24,6.0,17.0,7441
23-24,7.0,18.0,7403
23-24,8.0,19.0,7511
23-24,9.0,20.0,7334
23-24,10.0,21.0,7242
23-24,11.0,22.0,7785
23-24,12.0,23.0,7822
23-24,13.0,24.0,7270
23-24,14.0,25.0,7675
23-24,15.0,26.0,7909
23-24,16.0,27.0,7897
24-25,42.0,1.0,7784
24-25,43.0,2.0,7595
24-25,44.0,3.0,7643
24-25,45.0,4.0,7252
24-25,46.0,5.0,7413
24-25,47.0,6.0,7269
24-25,48.0,7.0,7353
24-25,49.0,8.0,7245
24-25,50.0,9.0,7537
24-25,51.0,10.0,7347
24-25,52.0,11.0,7571
24-25,1.0,12.0,7648
24-25,2.0,13.0,7569
24-25,3.0,14.0,7281
24-25,4.0,15.0,7523
24-25,5.0,16.0,7732
24-25,6.0,17.0,7517
24-25,7.0,18.0,7555
24-25,8.0,19.0,7562
24-25,9.0,20.0,7653
24-25,10.0,21.0,7344
24-25,11.0,22.0,7587
24-25,12.0,23.0,7501
24-25,13.0,24.0,7668
24-25,14.0,25.0,7984
24-25,15.0,26.0,7769
24-25,16.0,27.0,7185
25-26,42.0,1.0,7705
25-26,43.0,2.0,7711
25-26,44.0,3.0,7531
25-26,45.0,4.0,7671
25-26,46.0,5.0,7668
25-26,47.0,6.0,7652
25-26,48.0,7.0,7740
25-26,49.0,8.0,8223
25-26,50.0,9.0,8140
25-26,51.0,10.0,7904
25-26,52.0,11.0,7592
25-26,1.0,12.0,7438
25-26,2.0,13.0,7167
25-26,3.0,14.0,7240
25-26,4.0,15.0,7561
25-26,5.0,16.0,7536
25-26,6.0,17.0,7538
25-26,7.0,18.0,7607
25-26,8.0,19.0,7537
25-26,9.0,20.0,7657
25-26,10.0,21.0,7628
25-26,11.0,22.0,7550
25-26,12.0,23.0,7766
25-26,13.0,24.0,7723
25-26,14.0,25.0,7675
25-26,15.0,26.0,8163
25-26,16.0,27.0,7887
