STAGIONE,WEEK,ORDINE,ACCESSI_ILI_ATS_MILANO
21-22,1,6,958
21-22,2,7,607
21-22,3,8,617
21-22,4,9,560
21-22,5,10,562
21-22,6,11,479
21-22,7,12,494
21-22,8,13,570
21-22,9,14,609
21-22,10,15,747
21-22,11,16,916
21-22,12,17,1108
21-22,13,18,1062
21-22,14,19,970
21-22,15,20,867
22-23,48,1,1692
22-23,49,2,1783
22-23,50,3,1137
22-23,51,4,1124
22-23,52,5,1308
22-23,1,6,1144
22-23,2,7,826
22-23,3,8,805
22-23,4,9,811
22-23,5,10,1009
22-23,6,11,964
22-23,7,12,1059
22-23,8,13,1098
22-23,9,14,1039
22-23,10,15,1074
22-23,11,16,921
22-23,12,17,906
22-23,13,18,1012
22-23,14,19,795
22-23,15,20,891
23-24,48,1,1252
23-24,49,2,1872
23-24,50,3,1771
23-24,51,4,2122
23-24,52,5,2459
23-24,1,6,1565
23-24,2,7,925
23-24,3,8,851
23-24,4,9,861
23-24,5,10,899
23-24,6,11,936
23-24,7,12,900
23-24,8,13,982
23-24,9,14,904
23-24,10,15,990
23-24,11,16,1058
23-24,12,17,1099
23-24,13,18,1020
23-24,14,19,1041
23-24,15,20,1007
24-25,48,1,988
24-25,49,2,1052
24-25,50,3,1180
24-25,51,4,1231
24-25,52,5,1873
24-25,1,6,1815
24-25,2,7,1609
24-25,3,8,1591
24-25,4,9,1797
24-25,5,10,1733
24-25,6,11,1484
24-25,7,12,1449
24-25,8,13,1261
24-25,9,14,1254
24-25,10,15,1080
24-25,11,16,940
24-25,12,17,874
24-25,13,18,927
24-25,14,19,907
24-25,15,20,883
25-26,48,1,1353
25-26,49,2,1916
25-26,50,3,2025
25-26,51,4,1665
25-26,52,5,1786
25-26,1,6,1239
25-26,2,7,952
25-26,3,8,901
25-26,4,9,835
25-26,5,10,871
25-26,6,11,829
25-26,7,12,907
25-26,8,13,888
25-26,9,14,915
25-26,10,15,789
25-26,11,16,843
25-26,12,17,814
25-26,13,18,813
25-26,14,19,821
25-26,15,20,866
