STAGIONE,WEEK,ORDINE,ACCESSI_TOTALI_ER_MONTAGNA
21-22,1,6,2287
21-22,2,7,1765
21-22,3,8,1736
21-22,4,9,1927
21-22,5,10,1963
21-22,6,11,1942
21-22,7,12,2219
21-22,8,13,2289
21-22,9,14,2217
21-22,10,15,2157
21-22,11,16,2239
21-22,12,17,2305
21-22,13,18,2280
21-22,14,19,2294
21-22,15,20,2247
22-23,48,1,2279
22-23,49,2,2389
22-23,50,3,2182
22-23,51,4,2044
22-23,52,5,2727
22-23,1,6,2714
22-23,2,7,2129
22-23,3,8,2138
22-23,4,9,2218
22-23,5,10,2160
22-23,6,11,2476
22-23,7,12,2542
22-23,8,13,2502
22-23,9,14,2259
22-23,10,15,2321
22-23,11,16,2296
22-23,12,17,2244
22-23,13,18,2276
22-23,14,19,2257
22-23,15,20,2283
23-24,48,1,2038
23-24,49,2,2535
23-24,50,3,2477
23-24,51,4,2551
23-24,52,5,3086
23-24,1,6,2948
23-24,2,7,2318
23-24,3,8,2354
23-24,4,9,2575
23-24,5,10,2640
23-24,6,11,2714
23-24,7,12,2808
23-24,8,13,2692
23-24,9,14,2543
23-24,10,15,2701
23-24,11,16,2711
23-24,12,17,2576
23-24,13,18,2396
23-24,14,19,2583
23-24,15,20,2586
24-25,48,1,2146
24-25,49,2,2300
24-25,50,3,2445
24-25,51,4,2454
24-25,52,5,2990
24-25,1,6,3422
24-25,2,7,2638
24-25,3,8,2531
24-25,4,9,2715
24-25,5,10,2724
24-25,6,11,2737
24-25,7,12,2805
24-25,8,13,2888
24-25,9,14,2746
24-25,10,15,2878
24-25,11,16,2537
24-25,12,17,2546
24-25,13,18,2507
24-25,14,19,2568
24-25,15,20,2497
25-26,48,1,2484
25-26,49,2,2766
25-26,50,3,2751
25-26,51,4,2688
25-26,52,5,2981
25-26,1,6,3421
25-26,2,7,2698
25-26,3,8,2520
25-26,4,9,2526
25-26,5,10,2623
25-26,6,11,2713
25-26,7,12,2688
25-26,8,13,2755
25-26,9,14,2754
25-26,10,15,2808
25-26,11,16,2649
25-26,12,17,2662
25-26,13,18,2668
25-26,14,19,2793
25-26,15,20,2852
