STAGIONE,WEEK,ORDINE,ACCESSI_ILI_ATS_MONTAGNA
21-22,42.0,1.0,72
21-22,43.0,2.0,69
21-22,44.0,3.0,67
21-22,45.0,4.0,86
21-22,46.0,5.0,115
21-22,47.0,6.0,114
21-22,48.0,7.0,104
21-22,49.0,8.0,88
21-22,50.0,9.0,88
21-22,51.0,10.0,66
21-22,52.0,11.0,100
21-22,1.0,12.0,81
21-22,2.0,13.0,65
21-22,3.0,14.0,49
21-22,4.0,15.0,50
21-22,5.0,16.0,36
21-22,6.0,17.0,40
21-22,7.0,18.0,33
21-22,8.0,19.0,38
21-22,9.0,20.0,53
21-22,10.0,21.0,63
21-22,11.0,22.0,62
21-22,12.0,23.0,78
21-22,13.0,24.0,91
21-22,14.0,25.0,76
21-22,15.0,26.0,67
21-22,16.0,27.0,67
22-23,42.0,1.0,53
22-23,43.0,2.0,91
22-23,44.0,3.0,86
22-23,45.0,4.0,86
22-23,46.0,5.0,135
22-23,47.0,6.0,128
22-23,48.0,7.0,151
22-23,49.0,8.0,191
22-23,50.0,9.0,118
22-23,51.0,10.0,101
22-23,52.0,11.0,166
22-23,1.0,12.0,134
22-23,2.0,13.0,83
22-23,3.0,14.0,84
22-23,4.0,15.0,85
22-23,5.0,16.0,77
22-23,6.0,17.0,94
22-23,7.0,18.0,102
22-23,8.0,19.0,106
22-23,9.0,20.0,95
22-23,10.0,21.0,87
22-23,11.0,22.0,73
22-23,12.0,23.0,56
22-23,13.0,24.0,63
22-23,14.0,25.0,81
22-23,15.0,26.0,91
22-23,16.0,27.0,69
23-24,42.0,1.0,49
23-24,43.0,2.0,65
23-24,44.0,3.0,71
23-24,45.0,4.0,60
23-24,46.0,5.0,104
23-24,47.0,6.0,103
23-24,48.0,7.0,94
23-24,49.0,8.0,166
23-24,50.0,9.0,182
23-24,51.0,10.0,247
23-24,52.0,11.0,362
23-24,1.0,12.0,257
23-24,2.0,13.0,140
23-24,3.0,14.0,110
23-24,4.0,15.0,114
23-24,5.0,16.0,121
23-24,6.0,17.0,124
23-24,7.0,18.0,127
23-24,8.0,19.0,112
23-24,9.0,20.0,96
23-24,10.0,21.0,132
23-24,11.0,22.0,131
23-24,12.0,23.0,119
23-24,13.0,24.0,118
23-24,14.0,25.0,120
23-24,15.0,26.0,130
23-24,16.0,27.0,148
24-25,42.0,1.0,103
24-25,43.0,2.0,106
24-25,44.0,3.0,106
24-25,45.0,4.0,124
24-25,46.0,5.0,97
24-25,47.0,6.0,102
24-25,48.0,7.0,120
24-25,49.0,8.0,135
24-25,50.0,9.0,138
24-25,51.0,10.0,149
24-25,52.0,11.0,248
24-25,1.0,12.0,255
24-25,2.0,13.0,230
24-25,3.0,14.0,184
24-25,4.0,15.0,216
24-25,5.0,16.0,244
24-25,6.0,17.0,226
24-25,7.0,18.0,193
24-25,8.0,19.0,157
24-25,9.0,20.0,166
24-25,10.0,21.0,160
24-25,11.0,22.0,125
24-25,12.0,23.0,133
24-25,13.0,24.0,121
24-25,14.0,25.0,112
24-25,15.0,26.0,100
24-25,16.0,27.0,114
25-26,42.0,1.0,82
25-26,43.0,2.0,92
25-26,44.0,3.0,87
25-26,45.0,4.0,86
25-26,46.0,5.0,111
25-26,47.0,6.0,131
25-26,48.0,7.0,161
25-26,49.0,8.0,226
25-26,50.0,9.0,229
25-26,51.0,10.0,218
25-26,52.0,11.0,219
25-26,1.0,12.0,238
25-26,2.0,13.0,156
25-26,3.0,14.0,96
25-26,4.0,15.0,115
25-26,5.0,16.0,93
25-26,6.0,17.0,124
25-26,7.0,18.0,110
25-26,8.0,19.0,117
25-26,9.0,20.0,85
25-26,10.0,21.0,91
25-26,11.0,22.0,90
25-26,12.0,23.0,105
25-26,13.0,24.0,81
25-26,14.0,25.0,114
25-26,15.0,26.0,89
25-26,16.0,27.0,99
