STAGIONE,WEEK,ORDINE,RICOVERI_DOPO_ER
21-22,42.0,1.0,397
21-22,43.0,2.0,434
21-22,44.0,3.0,498
21-22,45.0,4.0,537
21-22,46.0,5.0,592
21-22,47.0,6.0,559
21-22,48.0,7.0,488
21-22,49.0,8.0,416
21-22,50.0,9.0,374
21-22,51.0,10.0,392
21-22,52.0,11.0,401
21-22,1.0,12.0,287
21-22,2.0,13.0,293
21-22,3.0,14.0,249
21-22,4.0,15.0,298
21-22,5.0,16.0,309
21-22,6.0,17.0,280
21-22,7.0,18.0,275
21-22,8.0,19.0,292
21-22,9.0,20.0,327
21-22,10.0,21.0,303
21-22,11.0,22.0,351
21-22,12.0,23.0,383
21-22,13.0,24.0,390
21-22,14.0,25.0,364
21-22,15.0,26.0,373
21-22,16.0,27.0,335
22-23,42.0,1.0,370
22-23,43.0,2.0,377
22-23,44.0,3.0,382
22-23,45.0,4.0,408
22-23,46.0,5.0,466
22-23,47.0,6.0,539
22-23,48.0,7.0,576
22-23,49.0,8.0,658
22-23,50.0,9.0,573
22-23,51.0,10.0,529
22-23,52.0,11.0,627
22-23,1.0,12.0,633
22-23,2.0,13.0,419
22-23,3.0,14.0,457
22-23,4.0,15.0,411
22-23,5.0,16.0,473
22-23,6.0,17.0,462
22-23,7.0,18.0,473
22-23,8.0,19.0,457
22-23,9.0,20.0,445
22-23,10.0,21.0,464
22-23,11.0,22.0,409
22-23,12.0,23.0,434
22-23,13.0,24.0,435
22-23,14.0,25.0,375
22-23,15.0,26.0,448
22-23,16.0,27.0,353
23-24,42.0,1.0,304
23-24,43.0,2.0,335
23-24,44.0,3.0,352
23-24,45.0,4.0,376
23-24,46.0,5.0,387
23-24,47.0,6.0,438
23-24,48.0,7.0,448
23-24,49.0,8.0,519
23-24,50.0,9.0,612
23-24,51.0,10.0,683
23-24,52.0,11.0,830
23-24,1.0,12.0,729
23-24,2.0,13.0,442
23-24,3.0,14.0,418
23-24,4.0,15.0,440
23-24,5.0,16.0,442
23-24,6.0,17.0,442
23-24,7.0,18.0,426
23-24,8.0,19.0,386
23-24,9.0,20.0,435
23-24,10.0,21.0,467
23-24,11.0,22.0,451
23-24,12.0,23.0,499
23-24,13.0,24.0,480
23-24,14.0,25.0,498
23-24,15.0,26.0,483
23-24,16.0,27.0,435
24-25,42.0,1.0,422
24-25,43.0,2.0,446
24-25,44.0,3.0,402
24-25,45.0,4.0,397
24-25,46.0,5.0,424
24-25,47.0,6.0,437
24-25,48.0,7.0,446
24-25,49.0,8.0,455
24-25,50.0,9.0,450
24-25,51.0,10.0,474
24-25,52.0,11.0,542
24-25,1.0,12.0,607
24-25,2.0,13.0,463
24-25,3.0,14.0,473
24-25,4.0,15.0,541
24-25,5.0,16.0,537
24-25,6.0,17.0,538
24-25,7.0,18.0,471
24-25,8.0,19.0,436
24-25,9.0,20.0,457
24-25,10.0,21.0,466
24-25,11.0,22.0,445
24-25,12.0,23.0,391
24-25,13.0,24.0,454
24-25,14.0,25.0,453
24-25,15.0,26.0,414
24-25,16.0,27.0,403
25-26,42.0,1.0,369
25-26,43.0,2.0,355
25-26,44.0,3.0,347
25-26,45.0,4.0,390
25-26,46.0,5.0,363
25-26,47.0,6.0,396
25-26,48.0,7.0,423
25-26,49.0,8.0,516
25-26,50.0,9.0,509
25-26,51.0,10.0,592
25-26,52.0,11.0,591
25-26,1.0,12.0,549
25-26,2.0,13.0,445
25-26,3.0,14.0,418
25-26,4.0,15.0,439
25-26,5.0,16.0,440
25-26,6.0,17.0,358
25-26,7.0,18.0,428
25-26,8.0,19.0,420
25-26,9.0,20.0,417
25-26,10.0,21.0,399
25-26,11.0,22.0,414
25-26,12.0,23.0,410
25-26,13.0,24.0,396
25-26,14.0,25.0,419
25-26,15.0,26.0,411
25-26,16.0,27.0,357
