STAGIONE,WEEK,ORDINE,RICOVERI_TOTALI_REG
21-22,42.0,1.0,8029
21-22,43.0,2.0,7972
21-22,44.0,3.0,7774
21-22,45.0,4.0,8044
21-22,46.0,5.0,8209
21-22,47.0,6.0,8106
21-22,48.0,7.0,8154
21-22,49.0,8.0,7900
21-22,50.0,9.0,8062
21-22,51.0,10.0,7978
21-22,52.0,11.0,8304
21-22,1.0,12.0,7990
21-22,2.0,13.0,7849
21-22,3.0,14.0,7634
21-22,4.0,15.0,7722
21-22,5.0,16.0,7985
21-22,6.0,17.0,7754
21-22,7.0,18.0,7659
21-22,8.0,19.0,7740
21-22,9.0,20.0,7756
21-22,10.0,21.0,7615
21-22,11.0,22.0,7820
21-22,12.0,23.0,7877
21-22,13.0,24.0,8046
21-22,14.0,25.0,7692
21-22,15.0,26.0,7619
21-22,16.0,27.0,7821
22-23,42.0,1.0,8144
22-23,43.0,2.0,7872
22-23,44.0,3.0,7822
22-23,45.0,4.0,8101
22-23,46.0,5.0,8450
22-23,47.0,6.0,8208
22-23,48.0,7.0,8375
22-23,49.0,8.0,8482
22-23,50.0,9.0,8328
22-23,51.0,10.0,8249
22-23,52.0,11.0,8611
22-23,1.0,12.0,8351
22-23,2.0,13.0,8097
22-23,3.0,14.0,8158
22-23,4.0,15.0,7988
22-23,5.0,16.0,8331
22-23,6.0,17.0,8234
22-23,7.0,18.0,8371
22-23,8.0,19.0,8173
22-23,9.0,20.0,7959
22-23,10.0,21.0,8190
22-23,11.0,22.0,7851
22-23,12.0,23.0,7908
22-23,13.0,24.0,8064
22-23,14.0,25.0,7878
22-23,15.0,26.0,8034
22-23,16.0,27.0,7823
23-24,42.0,1.0,7132
23-24,43.0,2.0,7225
23-24,44.0,3.0,7048
23-24,45.0,4.0,7204
23-24,46.0,5.0,7448
23-24,47.0,6.0,7559
23-24,48.0,7.0,7783
23-24,49.0,8.0,7797
23-24,50.0,9.0,8064
23-24,51.0,10.0,8396
23-24,52.0,11.0,8384
23-24,1.0,12.0,8213
23-24,2.0,13.0,7656
23-24,3.0,14.0,7893
23-24,4.0,15.0,7802
23-24,5.0,16.0,7870
23-24,6.0,17.0,8062
23-24,7.0,18.0,7746
23-24,8.0,19.0,7654
23-24,9.0,20.0,7968
23-24,10.0,21.0,7641
23-24,11.0,22.0,7989
23-24,12.0,23.0,7939
23-24,13.0,24.0,7718
23-24,14.0,25.0,8016
23-24,15.0,26.0,8001
23-24,16.0,27.0,7892
24-25,42.0,1.0,7946
24-25,43.0,2.0,7746
24-25,44.0,3.0,7582
24-25,45.0,4.0,7646
24-25,46.0,5.0,7857
24-25,47.0,6.0,7812
24-25,48.0,7.0,7800
24-25,49.0,8.0,7738
24-25,50.0,9.0,7881
24-25,51.0,10.0,7925
24-25,52.0,11.0,7740
24-25,1.0,12.0,8103
24-25,2.0,13.0,7700
24-25,3.0,14.0,7715
24-25,4.0,15.0,8027
24-25,5.0,16.0,7919
24-25,6.0,17.0,7895
24-25,7.0,18.0,7899
24-25,8.0,19.0,7816
24-25,9.0,20.0,7908
24-25,10.0,21.0,7839
24-25,11.0,22.0,7722
24-25,12.0,23.0,7533
24-25,13.0,24.0,7840
24-25,14.0,25.0,7800
24-25,15.0,26.0,7695
24-25,16.0,27.0,7359
25-26,42.0,1.0,7483
25-26,43.0,2.0,7517
25-26,44.0,3.0,7486
25-26,45.0,4.0,7508
25-26,46.0,5.0,7342
25-26,47.0,6.0,7469
25-26,48.0,7.0,7700
25-26,49.0,8.0,7682
25-26,50.0,9.0,7396
25-26,51.0,10.0,7801
25-26,52.0,11.0,7340
25-26,1.0,12.0,8151
25-26,2.0,13.0,7505
25-26,3.0,14.0,7691
25-26,4.0,15.0,7848
25-26,5.0,16.0,7671
25-26,6.0,17.0,7569
25-26,7.0,18.0,7599
25-26,8.0,19.0,7560
25-26,9.0,20.0,7557
25-26,10.0,21.0,7564
25-26,11.0,22.0,7477
25-26,12.0,23.0,7455
25-26,13.0,24.0,7651
25-26,14.0,25.0,7480
25-26,15.0,26.0,7394
25-26,16.0,27.0,7364
